source_row,record_type,source_bpm_id,source_gas_id,source_name,source_address,source_url,runtime_domain,runtime_name,parent_source_row,configured_srv_num,mapped_srv_num,confirmed_srv_nums,building_id,building_name,building_id_status,mapping_status,source_id_conflict
63,first_instance,TERRITORIAL_COURT_8008,03RS0059,Салаватский межрайонный суд Республики Башкортостан,"452490, Республика Башкортостан, Салаватский район, с. Малояз, ул. Советская, 61",https://salavatskiy.bkr.sudrf.ru/modules.php?name=sud_delo,salavatskiy--bkr.sudrf.ru,Салаватский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
64,first_instance,TERRITORIAL_COURT_8009,03RS0060,Стерлибашевский межрайонный суд Ресублики Башкортостан,"453180, Республика Башкортостан, Стерлибашевский район, с. Стерлибашево, ул. Ленина, 109",https://sterlibashevsky.bkr.sudrf.ru/modules.php?name=sud_delo,sterlibashevsky--bkr.sudrf.ru,Стерлибашевский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
65,judicial_presence,TERRITORIAL_COURT_8011,03RS0025_Tatishli,Балтачевский межрайонный суд Республики Башкортостан (судебное присутствие в с.Верхние Татышлы),"452830, Республика Башкортостан, Татышлинский район, с. Верхние Татышлы, ул. Ленина, 82",https://baltachevsky.bkr.sudrf.ru/modules.php?name=sud_delo,baltachevsky--bkr.sudrf.ru,Балтачевский межрайонный суд,10,,1,[1],913410001,Постоянное судебное присутствие в с. Верхние Татышлы Татышлинского района Республики Башкортостан,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
66,first_instance,TERRITORIAL_COURT_8012,03RS0063,Туймазинский межрайонный суд Республики Башкортостан,"452750, Республика Башкортостан, г. Туймазы, ул. Пугачева, д. 10",https://tuimazinsky.bkr.sudrf.ru/modules.php?name=sud_delo,tuimazinsky--bkr.sudrf.ru,Туймазинский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
67,first_instance,TERRITORIAL_COURT_8013,03RS0064,Уфимский районный суд,"450103, г. Уфа, ул. Сочинская, д. 12",https://ufimsky.bkr.sudrf.ru/modules.php?name=sud_delo,ufimsky--bkr.sudrf.ru,Уфимский районный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
68,first_instance,TERRITORIAL_COURT_8014,03RS0065,Учалинский районный суд,"453700, Республика Башкортостан, г. Учалы, ул. Ленина, д. 12",https://uchalinsky.bkr.sudrf.ru/modules.php?name=sud_delo,uchalinsky--bkr.sudrf.ru,Учалинский районный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
69,judicial_presence,TERRITORIAL_COURT_8015,03RS0060_Fedorovkla,Стерлибашевский межрайонный суд Ресублики Башкорстостан (судебное присутствие в с. Федоровка),"453280, Республика Башкортостан, Федоровский район, с. Федоровка, ул. Ленина, 42",https://sterlibashevsky.bkr.sudrf.ru/modules.php?name=sud_delo,sterlibashevsky--bkr.sudrf.ru,Стерлибашевский межрайонный суд,64,,1,[1],913410001,Постоянное судебное присутствие в с. Федоровка,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
70,first_instance,TERRITORIAL_COURT_8017,03RS0068,Чекмагушевский межрайонный суд Республики Башкортостан,"452220, Республика Башкортостан, Чекмагушевский район, с. Чекмагуш, ул. Салавата, 1",https://chekmagushevsky.bkr.sudrf.ru/modules.php?name=sud_delo,chekmagushevsky--bkr.sudrf.ru,Чекмагушевский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
71,first_instance,TERRITORIAL_COURT_8018,03RS0069,Чишминский районный суд Республики Башкортостан,"452170, Республика Башкортостан, Чишминский район, п. Чишмы, ул. Первомайская, 26",https://chishmilinsky.bkr.sudrf.ru/modules.php?name=sud_delo,chishmilinsky--bkr.sudrf.ru,Чишминский районный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
72,judicial_presence,TERRITORIAL_COURT_8019,03RS0063_Sharan,Туймазинский межрайонный суд Республики Башкортостан (судебное присутствие в с. Шаран),"452630, Республика Башкортостан, Шаранский район, с. Шаран, ул. Луговая, д. 41",https://tuimazinsky.bkr.sudrf.ru/modules.php?name=sud_delo,tuimazinsky--bkr.sudrf.ru,Туймазинский межрайонный суд,66,,1,[1],913410001,Постоянное судебное присутствие в с.Шаран Республики Башкортостан,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
73,first_instance,TERRITORIAL_COURT_8020,03RS0071,Янаульский районный суд Республики Башкортостан,"452800, Республика Башкортостан, г. Янаул, ул. Крестьянская, д. 18",https://yanaulsky.bkr.sudrf.ru/modules.php?name=sud_delo,yanaulsky--bkr.sudrf.ru,Янаульский районный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
,cassation,,,Шестой кассационный суд общей юрисдикции,,https://6kas.sudrf.ru/,6kas.sudrf.ru,Шестой кассационный суд общей юрисдикции,,1,,[1],,,,form_and_one_card_observed_mac,False
